commune_code,commune_name,last_name,first_name,gender,party_code,list_name,votes,elected,P16_POP,pct_female,pct_male,pct_age_0_14,pct_age_15_29,pct_age_30_44,pct_age_45_59,pct_age_60_74,pct_age_75_plus,pct_edu_vocational,pct_edu_bac,pct_edu_higher,pct_unemployed
28012,Arrou,DEFRANCE,Jean-Luc,M,LDVD,EN AVANT ARROU !,518,True,3808.0,49.91,50.09,17.39,13.14,16.85,18.26,18.7,15.67,32.44,15.08,12.45,13.45
28012,Arrou,LALLET,Patrice,M,LDVD,ENSEMBLE POUR L'AVENIR D'ARROU,382,True,3808.0,49.91,50.09,17.39,13.14,16.85,18.26,18.7,15.67,32.44,15.08,12.45,13.45
28013,Aunay-sous-Auneau,WEIBEL,Jacques,M,LDVD,Bien vivre ensemble ï¿½ Aunay-sous-Auneau,424,True,1468.0,48.62,51.38,23.2,15.31,20.63,20.36,14.97,5.53,32.75,18.26,24.64,7.91
28015,Auneau,LETOUZE,Dominique,M,LDVG,Nouveau cap pour les Alnï¿½lois,786,True,5808.0,50.96,49.04,21.93,16.25,20.64,20.78,13.41,6.99,27.93,17.0,23.28,11.56
28015,Auneau,SCICLUNA,Michel,M,LDVD,"Auneau, la dynamique continue",860,True,5808.0,50.96,49.04,21.93,16.25,20.64,20.78,13.41,6.99,27.93,17.0,23.28,11.56
28018,Authon-du-Perche,CERCEAU,Marie Claude,F,LDIV,Authon la relï¿½ve,188,True,1519.0,51.54,48.46,15.92,13.05,15.78,18.85,18.92,17.48,27.54,16.61,13.98,9.89
28018,Authon-du-Perche,LERIGET,Patrice,M,LDVD,ENSEMBLE POUR AUTHON,487,True,1519.0,51.54,48.46,15.92,13.05,15.78,18.85,18.92,17.48,27.54,16.61,13.98,9.89
28021,Bailleau-le-Pin,LOCHON,Martial,M,LDVD,Ensemble pour Bailleau,475,True,1567.0,48.91,51.09,21.12,12.84,21.12,21.31,15.92,7.7,35.88,17.98,20.96,6.89
28022,Bailleau-l'Evï¿½que,AVELINE,Thierry,M,LDVD,Vivre ensemble ï¿½ Bailleau l'Evï¿½que,217,True,1174.0,47.49,52.51,20.47,11.64,20.74,24.12,16.5,6.53,29.6,18.44,26.75,5.05
28022,Bailleau-l'Evï¿½que,BARAZZUTTI,Philippe,M,LDVD,Bailleau deux mille 20,378,True,1174.0,47.49,52.51,20.47,11.64,20.74,24.12,16.5,6.53,29.6,18.44,26.75,5.05
28023,Bailleau-Armenonville,GARNIER,Gï¿½rald,M,LDVD,Bailleau-Armenonville avec vous et pour vous,433,True,1399.0,48.27,51.73,19.48,15.01,19.84,23.59,16.52,5.56,29.17,19.58,28.37,10.36
28023,Bailleau-Armenonville,MEYER,Emmanuel,M,LDVD,Ensemble pour bailleau,138,True,1399.0,48.27,51.73,19.48,15.01,19.84,23.59,16.52,5.56,29.17,19.58,28.37,10.36
28023,Bailleau-Armenonville,MARTIN,Alain,M,LFN,Rassemblement Bleu Marine pour Bailleau-Armenonville,126,True,1399.0,48.27,51.73,19.48,15.01,19.84,23.59,16.52,5.56,29.17,19.58,28.37,10.36
28024,Barjouville,LELARGE,Jean-Franï¿½ois,M,LDIV,Une ï¿½quipe pour Barjouville,582,True,1723.0,50.18,49.82,20.79,13.84,16.47,23.89,17.87,7.13,28.09,18.4,29.8,8.19
28027,La Bazoche-Gouet,BOUDET,Jean-Paul,M,LDVD,Liste d'union et d'avenir,370,True,1228.0,51.44,48.56,12.01,11.1,11.35,17.1,25.56,22.89,32.25,10.32,11.31,14.39
28039,Bï¿½ville-le-Comte,LEBLOND,Dominique,M,LDVD,Toujours Passionnï¿½ment Bï¿½ville,440,True,1633.0,51.06,48.94,22.75,15.81,21.67,20.34,13.16,6.28,33.22,18.15,20.98,8.53
28051,Bonneval,RIVERAIN,Corinne,F,LDVG,BONNEVAL IDEAL,738,True,5154.0,52.7,47.3,17.83,12.87,17.51,18.26,17.43,16.09,28.03,12.22,18.42,13.48
28051,Bonneval,BILLARD,Joï¿½l,M,LUD,AGIR ENSEMBLE POUR BONNEVAL,1425,True,5154.0,52.7,47.3,17.83,12.87,17.51,18.26,17.43,16.09,28.03,12.22,18.42,13.48
28056,Boutigny-Prouais,ELOY,Mireille,F,LDVD,UNIS POUR ALLER PLUS LOIN,543,True,1757.0,50.59,49.41,20.32,14.94,19.03,25.39,15.27,5.05,25.44,18.46,35.26,10.07
28059,Brezolles,BARBIER,Loï¿½c,M,LDVD,LE BON SENS,519,True,1819.0,52.34,47.66,23.31,15.56,18.8,18.03,12.97,11.32,33.18,13.02,11.69,16.12
28061,Brou,MASSON,Philippe,M,LDVD,"BROU EN 3D : UNE EQUIPE DECIDEE, DYNAMIQUE, DURABLE !",1232,True,3382.0,54.02,45.98,13.15,12.84,12.37,18.19,20.85,22.59,27.03,10.47,9.72,16.71
28064,Bï¿½,LEFEBVRE,Evelyne,F,LDVD,Ensemble pour Bï¿½,442,True,1948.0,51.98,48.02,19.36,16.36,21.16,21.05,15.32,6.75,26.23,19.1,28.5,9.15
28064,Bï¿½,SANIER,Pierre,M,LDVD,UNE NOUVELLE DYNAMIQUE POUR BU,532,True,1948.0,51.98,48.02,19.36,16.36,21.16,21.05,15.32,6.75,26.23,19.1,28.5,9.15
28070,Champhol,GIGON,Christian,M,LDVG,Champhol ensemble 2014,1203,True,3622.0,50.4,49.6,19.63,15.57,18.77,23.5,15.92,6.62,27.36,16.67,31.53,7.94
28070,Champhol,FEILLU,Patrice,M,LDVD,DIALOGUONS & AVANCONS ENSEMBLE,645,True,3622.0,50.4,49.6,19.63,15.57,18.77,23.5,15.92,6.62,27.36,16.67,31.53,7.94
28075,La Chapelle-du-Noyer,BILLARD,Odil,M,LDVD,ENTENTE COMMUNALE,445,True,1046.0,51.26,48.74,15.79,12.31,15.41,21.99,23.64,10.85,32.42,17.14,18.26,11.01
28085,Chartres,CHEVROLLIER,Vincent,M,LEXG,"Lutte Ouvriï¿½re, faire entendre le camp des travailleurs",252,False,38752.0,53.58,46.42,17.0,18.89,18.3,18.18,15.48,12.15,21.61,15.16,33.44,14.23
28085,Chartres,BARBE,Denis,M,LFG,Chartres l'Humain d'abord,702,True,38752.0,53.58,46.42,17.0,18.89,18.3,18.18,15.48,12.15,21.61,15.16,33.44,14.23
28085,Chartres,MAUNOURY,Catherine,F,LUG,Rï¿½unir Chartres,4274,True,38752.0,53.58,46.42,17.0,18.89,18.3,18.18,15.48,12.15,21.61,15.16,33.44,14.23
28085,Chartres,GORGES,Jean-Pierre,M,LUD,Chartres votre ville 2014,7264,True,38752.0,53.58,46.42,17.0,18.89,18.3,18.18,15.48,12.15,21.61,15.16,33.44,14.23
